date,IWDA,CSPX,IMAE,EMIM,WSML,SGLD,IBGM,IBTM,IBGS,IMIE,CNDX,IWMO,IWQU,IWVL,MVOL,VVSM,XDWH,DTLA,IBCI,IEAC,IHYG,IWDP,ICOM
2008-01-02,,,,,,,120.714401,117.795494,119.975365,,,,,,,,,,159.787003,,,16.700144,
2008-01-03,,,,,,,120.917320,117.772034,120.045471,,,,,,,,,,161.434006,,,16.334539,
2008-01-04,,,,,,,121.412399,118.295357,120.138359,,,,,,,,,,161.906998,,,16.040514,
2008-01-07,,,,,,,121.461220,118.461731,120.131065,,,,,,,,,,161.748001,,,15.941955,
2008-01-08,,,,,,,121.168213,118.452194,120.062790,,,,,,,,,,161.182007,,,15.678001,
2008-01-09,,,,,,,121.797203,118.911072,120.247627,,,,,,,,,,161.876999,,,15.731205,
2008-01-10,,,,,,,121.728172,118.130478,120.216675,,,,,,,,,,161.623993,,,15.717351,
2008-01-11,,,,,,,121.767708,118.828232,120.272232,,,,,,,,,,161.792999,,,15.617648,
2008-01-14,,,,,,,122.075020,118.941147,120.376953,,,,,,,,,,162.320999,,,15.699251,
2008-01-15,,,,,,,122.381531,119.702675,120.458000,,,,,,,,,,162.908005,,,15.303511,
2008-01-16,,,,,,,122.853035,119.638916,120.661942,,,,,,,,,,163.550995,,,15.258436,
2008-01-17,,,,,,,122.850502,120.285393,120.716576,,,,,,,,,,163.600006,,,15.241214,
2008-01-18,,,,,,,123.024796,120.276588,120.802208,,,,,,,,,,163.537003,,,14.805113,
2008-01-21,,,,,,,123.502197,120.276588,121.003418,,,,,,,,,,163.740997,,,14.805113,
2008-01-22,,,,,,,122.751961,121.684601,120.946968,,,,,,,,,,162.164001,,,14.873460,
2008-01-23,,,,,,,123.755630,122.224083,121.270241,,,,,,,,,,163.483002,,,15.669252,
2008-01-24,,,,,,,122.681267,120.445145,120.849556,,,,,,,,,,162.246994,,,15.768007,
2008-01-25,,,,,,,122.974274,120.923050,120.920570,,,,,,,,,,162.914993,,,16.011169,
