date,IWDA,CSPX,IMAE,EMIM,WSML,SGLD,IBGM,IBTM,IBGS,IMIE,CNDX,IWMO,IWQU,IWVL,MVOL,VVSM,XDWH,DTLA,IBCI,IEAC,IHYG,IWDP,ICOM
2003-12-01,18.479840,72.391045,21.078898,7.098968,1.262873,,118.747794,115.876446,127.657174,,,,,,,,,,,,,,
2003-12-02,18.310700,71.468993,20.775126,6.995004,1.248007,,117.867497,115.017553,126.486997,,,,,,,,,,,,,,
2003-12-03,18.235358,71.155629,20.894985,6.951059,1.222132,,117.228559,114.393965,126.024458,,,,,,,,,,,,,,
2003-12-04,18.383976,71.696381,21.004791,6.927325,1.229205,,117.889665,115.039204,126.586598,,,,,,,,,,,,,,
2003-12-05,18.148815,70.577386,20.688353,6.854074,1.203415,,118.286613,115.426535,125.883158,,,,,,,,,,,,,,
2003-12-08,18.134491,70.860703,20.665720,6.848936,1.209082,,117.521572,114.680021,125.405274,,,,,,,,,,,,,,
2003-12-09,18.064607,70.142164,20.575300,6.803668,1.185766,,116.651670,113.831065,125.022672,,,,,,,,,,,,,,
2003-12-10,18.027247,70.474879,20.638091,6.809261,1.180769,,117.508860,114.667597,125.780491,,,,,,,,,,,,,,
2003-12-11,18.141317,71.074383,20.828895,6.914586,1.210467,,117.899875,115.049099,125.699589,,,,,,,,,,,,,,
2003-12-12,18.133022,70.894093,20.818666,6.915228,1.213685,,117.372400,114.534378,125.106641,,,,,,,,,,,,,,
2003-12-15,18.090836,70.305326,20.686545,6.897536,1.181336,,116.926690,114.099358,124.660054,,,,,,,,,,,,,,
2003-12-16,18.066156,70.659934,20.907389,6.867623,1.191604,,118.314909,115.454272,125.225158,,,,,,,,,,,,,,
2003-12-17,18.003616,70.424388,20.802087,6.744016,1.183689,,117.855454,115.005877,124.431796,,,,,,,,,,,,,,
2003-12-18,18.164109,71.096159,21.030499,6.841227,1.199897,,118.057432,115.202818,124.251921,,,,,,,,,,,,,,
2003-12-19,18.227071,71.115794,20.992616,6.878975,1.199706,,118.433630,115.569900,124.663322,,,,,,,,,,,,,,
2003-12-22,18.258845,71.531367,20.887724,6.968247,1.211730,,117.981640,115.128916,124.447476,,,,,,,,,,,,,,
2003-12-23,18.316789,71.570794,20.842627,6.986664,1.218257,,117.168549,114.335495,124.240333,,,,,,,,,,,,,,
2003-12-24,18.260439,71.194979,20.959498,6.979414,1.211645,,117.400748,114.562098,123.997623,,,,,,,,,,,,,,
2003-12-25,18.269513,71.194979,20.959498,6.979414,1.211645,,117.400748,114.562098,123.997623,,,,,,,,,,,,,,
2003-12-26,18.303960,71.367589,21.018234,7.008886,1.217997,,117.972370,115.119813,124.313080,,,,,,,,,,,,,,
2003-12-29,18.421240,72.016236,21.122483,7.085156,1.231370,,116.766077,113.942725,123.630222,,,,,,,,,,,,,,
2003-12-30,18.406016,71.655992,21.003182,7.082109,1.228158,,116.037932,113.232282,123.049526,,,,,,,,,,,,,,
2003-12-31,18.393933,71.486493,21.033023,7.147997,1.206296,,115.863217,113.061658,122.805713,,,,,,,,,,,,,,
2004-01-02,18.352409,71.500225,21.292586,7.311843,1.220034,,115.006866,112.225994,122.586675,,,,,,,,,,,,,,
2004-01-05,18.549562,71.679667,21.454689,7.505738,1.224087,,113.959617,111.204218,121.586552,,,,,,,,,,,,,,
2004-01-06,18.535074,71.557693,21.514073,7.401064,1.219194,,114.507535,111.738784,121.408429,,,,,,,,,,,,,,
2004-01-07,18.594102,72.254138,21.405452,7.465322,1.239929,,115.491836,112.699314,122.266516,,,,,,,,,,,,,,
2004-01-08,18.568856,71.780974,21.526610,7.414929,1.236255,,114.280104,111.516881,120.998443,,,,,,,,,,,,,,
2004-01-09,18.374578,70.689695,21.248050,7.353289,1.218379,,114.873369,112.095792,120.500233,,,,,,,,,,,,,,
2004-01-12,18.553478,71.871072,21.428575,7.414905,1.252681,,115.936926,113.133632,121.689487,,,,,,,,,,,,,,
2004-01-13,18.442745,71.200829,21.291877,7.346752,1.243023,,116.148744,113.340440,121.408116,,,,,,,,,,,,,,
2004-01-14,18.717206,72.561031,21.655964,7.436811,1.262779,,117.618769,114.774857,122.584225,,,,,,,,,,,,,,
2004-01-15,18.747180,73.028997,21.620786,7.313873,1.271058,,118.154338,115.297476,123.056288,,,,,,,,,,,,,,
2004-01-16,19.113586,74.517939,21.838174,7.465474,1.299050,,119.588363,116.696760,124.979851,,,,,,,,,,,,,,
2004-01-19,19.201513,74.517939,21.838174,7.465474,1.299050,,119.588363,116.696760,124.979851,,,,,,,,,,,,,,
2004-01-20,18.931919,73.367839,21.792049,7.565859,1.294689,,117.568313,114.725649,123.142812,,,,,,,,,,,,,,
2004-01-21,18.950979,73.537372,22.004216,7.534017,1.285801,,117.258804,114.423548,122.536196,,,,,,,,,,,,,,
2004-01-22,18.882500,72.964991,21.828383,7.475934,1.271910,,117.150790,114.318315,121.988680,,,,,,,,,,,,,,
2004-01-23,19.065411,73.550762,21.799196,7.547664,1.293239,,117.583567,114.740420,123.186699,,,,,,,,,,,,,,
2004-01-26,19.192640,75.043274,21.915564,7.655675,1.316035,,117.982199,115.129490,124.034526,,,,,,,,,,,,,,
2004-01-27,18.950452,73.397027,21.778069,7.527199,1.284251,,117.054751,114.224306,122.720689,,,,,,,,,,,,,,
2004-01-28,19.028071,73.695579,21.774286,7.537045,1.283994,,118.030694,115.176841,124.327199,,,,,,,,,,,,,,
2004-01-29,19.013993,73.957097,21.820388,7.437463,1.275152,,118.196009,115.338092,124.677635,,,,,,,,,,,,,,
2004-01-30,18.903975,73.612914,21.602960,7.392722,1.270866,,118.184616,115.326927,124.157477,,,,,,,,,,,,,,
2004-02-02,18.987830,74.139075,21.673797,7.415322,1.277754,,118.399499,115.536681,124.551269,,,,,,,,,,,,,,
2004-02-03,18.870910,73.413662,21.583177,7.313857,1.260258,,117.891573,115.041008,123.658207,,,,,,,,,,,,,,
2004-02-04,18.715286,72.784368,21.413229,7.245258,1.228600,,117.651452,114.806578,123.533836,,,,,,,,,,,,,,
2004-02-05,18.676539,72.811418,21.532741,7.224631,1.236920,,116.912232,114.085422,123.129774,,,,,,,,,,,,,,
2004-02-06,18.741856,72.886031,21.669914,7.314748,1.255424,,116.440687,113.625185,122.080420,,,,,,,,,,,,,,
2004-02-09,18.794715,72.939400,21.897967,7.423708,1.258498,,116.767593,113.944177,122.182099,,,,,,,,,,,,,,
2004-02-10,18.864505,73.227148,21.968858,7.422495,1.274520,,116.523659,113.706235,122.106301,,,,,,,,,,,,,,
2004-02-11,18.846556,73.168568,22.029429,7.452415,1.267807,,115.812654,113.012375,120.916377,,,,,,,,,,,,,,
2004-02-12,18.817090,72.972084,21.876152,7.455543,1.260332,,115.853702,113.052374,121.073676,,,,,,,,,,,,,,
2004-02-13,18.860602,73.158022,21.917437,7.513472,1.256219,,116.972001,114.143830,122.107229,,,,,,,,,,,,,,
2004-02-16,18.860192,73.158022,21.917437,7.513472,1.256219,,116.972001,114.143830,122.107229,,,,,,,,,,,,,,
2004-02-17,18.904850,73.072812,22.161445,7.586972,1.265378,,115.789877,112.990287,120.771066,,,,,,,,,,,,,,
2004-02-18,18.956330,73.511600,22.084655,7.561784,1.269218,,116.971645,114.143248,122.046725,,,,,,,,,,,,,,
2004-02-19,19.038564,73.054729,22.259032,7.476989,1.243687,,116.759560,113.936600,121.799635,,,,,,,,,,,,,,
2004-02-20,19.072499,74.081570,22.321424,7.519831,1.262825,,118.362221,115.500351,123.753187,,,,,,,,,,,,,,
2004-02-23,19.043062,73.718485,22.261660,7.436413,1.240845,,118.464897,115.600412,123.577718,,,,,,,,,,,,,,
2004-02-24,18.846803,72.974590,22.153690,7.335270,1.230363,,117.678797,114.833405,122.559451,,,,,,,,,,,,,,
2004-02-25,19.076714,74.341749,22.230001,7.522739,1.265726,,119.520843,116.630902,124.423923,,,,,,,,,,,,,,
2004-02-26,19.171578,74.679874,22.310881,7.589839,1.278416,,119.810866,116.913874,124.868563,,,,,,,,,,,,,,
2004-02-27,19.170760,74.456525,22.271619,7.669085,1.280288,,119.839516,116.941860,124.498566,,,,,,,,,,,,,,
2004-03-01,19.433931,75.472580,22.596069,7.872967,1.305394,,120.409299,117.497895,124.918335,,,,,,,,,,,,,,
2004-03-02,19.661153,76.530736,22.543815,7.966487,1.320933,,122.106854,119.154287,127.292329,,,,,,,,,,,,,,
2004-03-03,19.658415,76.752247,22.598501,7.925508,1.323701,,122.124227,119.171436,127.336558,,,,,,,,,,,,,,
2004-03-04,19.683839,76.849952,22.704015,7.969041,1.338689,,122.346598,119.388361,127.276630,,,,,,,,,,,,,,
2004-03-05,19.536214,76.104977,22.682252,7.894192,1.324261,,122.253289,119.297269,125.894017,,,,,,,,,,,,,,
